0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/RoomTypeSetServlet HTTP/1.1" 200 5760
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/css/bootstrap.min.css HTTP/1.1" 200 127020
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/js/jquery-1.7.2.min.js HTTP/1.1" 200 175750
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/js/vue.js HTTP/1.1" 200 272834
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/js/bootstrap.js HTTP/1.1" 200 55259
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:57 +0800] "GET /HotelManagementSystem/RoomSetServlet HTTP/1.1" 200 26953
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/EmployeeServlet HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/css/jquery.searchableSelect.css HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/css/searchstyle.css HTTP/1.1" 200 6821
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/jquery.min.js HTTP/1.1" 200 96383
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/bootstrap.min.js HTTP/1.1" 200 31824
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [01/May/2018:15:33:58 +0800] "GET /HotelManagementSystem/js/jquery.searchableSelect.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:24 +0800] "GET /HotelManagementSystem/RoomStatusStatistics.jsp HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:24 +0800] "GET /HotelManagementSystem/css/sycstyle.css HTTP/1.1" 200 6821
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:30 +0800] "POST /HotelManagementSystem/ShowRoomStatusImageController HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:30 +0800] "GET /HotelManagementSystem/DisplayChart?filename=jfreechart-4171724049736364233.png HTTP/1.1" 200 20030
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:36 +0800] "GET /HotelManagementSystem/DisplayChart?filename=jfreechart-4171724049736364233.png HTTP/1.1" 200 20030
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:50 +0800] "GET /HotelManagementSystem/SafeExit HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [01/May/2018:15:34:59 +0800] "POST /HotelManagementSystem/LoginServlet HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [01/May/2018:15:35:01 +0800] "GET /HotelManagementSystem/build/css/nprogress.css HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [01/May/2018:15:35:01 +0800] "GET /HotelManagementSystem/build/css/message.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/May/2018:15:35:01 +0800] "GET /HotelManagementSystem/SafeExit HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [01/May/2018:15:35:09 +0800] "POST /HotelManagementSystem/LoginServlet HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [01/May/2018:15:35:11 +0800] "GET /HotelManagementSystem/build/css/nprogress.css HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [01/May/2018:15:35:11 +0800] "GET /HotelManagementSystem/build/css/message.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [01/May/2018:15:36:32 +0800] "GET /HotelManagementSystem/plugins/layui/font/iconfont.woff?v=2 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [01/May/2018:15:36:33 +0800] "GET /HotelManagementSystem/AdvanceOrderSearchById.jsp HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [01/May/2018:15:36:37 +0800] "GET /HotelManagementSystem/RoomOrderController HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [01/May/2018:15:36:41 +0800] "POST /HotelManagementSystem/AdvanceOrderSearchAllController HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [01/May/2018:15:36:50 +0800] "GET /HotelManagementSystem/RoomSearch.jsp HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [01/May/2018:15:36:52 +0800] "POST /HotelManagementSystem/ShowRuledRoomController HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [01/May/2018:15:36:59 +0800] "POST /HotelManagementSystem/ShowRuledRoomController HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [01/May/2018:15:37:13 +0800] "POST /HotelManagementSystem/ShowRuledRoomController HTTP/1.1" 200 10161
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:11 +0800] "GET /HotelManagementSystem/SafeExit HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:24 +0800] "POST /HotelManagementSystem/LoginServlet HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:24 +0800] "GET /HotelManagementSystem/head.jsp HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:24 +0800] "GET /HotelManagementSystem/customerMenu.jsp HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:24 +0800] "GET /HotelManagementSystem/customerOrder.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:24 +0800] "GET /HotelManagementSystem/tail.jsp HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:24 +0800] "GET /HotelManagementSystem/customercss/customertable.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:26 +0800] "GET /HotelManagementSystem/customercss/cell-grey.jpg HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:28 +0800] "GET /HotelManagementSystem/personCenter.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:29 +0800] "GET /HotelManagementSystem/customerOrder.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:29 +0800] "GET /HotelManagementSystem/customercss/cell-grey.jpg HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:32 +0800] "GET /HotelManagementSystem/customerAllOrder.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:32 +0800] "GET /HotelManagementSystem/customercss/cell-blue.jpg HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:34 +0800] "POST /HotelManagementSystem/OrderSelectServlet HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:39 +0800] "GET /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:41 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:41 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:42 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:43 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:43 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:45 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:45 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:46 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:46 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:47 +0800] "GET /HotelManagementSystem/customerAllOrder.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:49 +0800] "GET /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:52 +0800] "GET /HotelManagementSystem/customerAllOrder.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:54 +0800] "GET /HotelManagementSystem/customerOrder.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [01/May/2018:15:38:57 +0800] "POST /HotelManagementSystem/CustomerOrderServlet HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [01/May/2018:15:39:18 +0800] "POST /HotelManagementSystem/CustomerOrderServlet HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [01/May/2018:15:39:22 +0800] "GET /HotelManagementSystem/customerAllOrder.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [01/May/2018:15:39:24 +0800] "GET /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [01/May/2018:15:39:25 +0800] "GET /HotelManagementSystem/customerAllOrder.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [01/May/2018:15:39:26 +0800] "GET /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2212
